"num_docks_disabled","is_returning","num_docks_available","is_installed","num_ebikes_available","station_id","num_bikes_available","is_renting","num_scooters_available","last_reported","num_scooters_unavailable","num_bikes_disabled","fecha_hora"
0,1,10,1,1,"a3a5a9d0-a135-11e9-9cda-0a87ae2ba916",8,1,1,1774036552,0,0,2026-03-20 19:55:52
0,1,11,1,3,"a3b01a86-a135-11e9-9cda-0a87ae2ba916",4,1,0,1774036552,0,0,2026-03-20 19:55:52
0,1,13,1,0,"ff21c158-de98-46c6-9ef7-7082bdb7c634",2,1,0,1774036549,0,0,2026-03-20 19:55:49
0,1,8,1,0,"2170354186502672462",0,1,NA,1774036548,NA,0,2026-03-20 19:55:48
0,1,10,1,1,"f0f9f5dc-3d3f-4a32-aa3e-b87566e44de9",4,1,0,1774036549,0,1,2026-03-20 19:55:49
0,1,1,1,6,"4843d153-c725-4230-a4c7-402da6a62143",14,1,1,1774036557,0,0,2026-03-20 19:55:57
0,1,3,1,11,"2181157653719738134",13,1,13,1774036558,1,2,2026-03-20 19:55:58
0,1,8,1,1,"2024842594057769234",4,1,4,1774036558,0,0,2026-03-20 19:55:58
0,1,17,1,3,"94788869-1849-43f6-99e1-2eacbc3fab03",6,1,7,1774036559,0,0,2026-03-20 19:55:59
0,1,4,1,2,"1936582560225114270",3,1,0,1774036558,0,0,2026-03-20 19:55:58
0,1,2,1,2,"a3a9c5f7-a135-11e9-9cda-0a87ae2ba916",5,1,0,1774036559,0,0,2026-03-20 19:55:59
0,1,12,1,3,"a3a497b6-a135-11e9-9cda-0a87ae2ba916",6,1,0,1774036559,0,1,2026-03-20 19:55:59
0,1,6,1,2,"a3ad2d57-a135-11e9-9cda-0a87ae2ba916",5,1,0,1774036556,0,0,2026-03-20 19:55:56
0,1,13,1,0,"a3aa4017-a135-11e9-9cda-0a87ae2ba916",3,1,0,1774036556,0,0,2026-03-20 19:55:56
0,1,10,1,3,"a3afd294-a135-11e9-9cda-0a87ae2ba916",5,1,0,1774036555,0,0,2026-03-20 19:55:55
0,1,14,1,0,"1975902497437067330",1,1,0,1774036555,0,0,2026-03-20 19:55:55
0,1,9,1,13,"2162605010317203902",18,1,3,1774036556,0,0,2026-03-20 19:55:56
0,1,8,1,1,"430d5876-c44d-446e-ac53-065da9fb9c17",2,1,2,1774036555,0,0,2026-03-20 19:55:55
0,1,10,1,1,"2010820263334840794",1,1,0,1774036555,0,0,2026-03-20 19:55:55
0,1,3,1,0,"a3a5d3bb-a135-11e9-9cda-0a87ae2ba916",12,1,0,1774036555,0,0,2026-03-20 19:55:55
0,1,7,1,0,"1992234898774407528",1,1,0,1774036477,0,0,2026-03-20 19:54:37
0,1,10,1,0,"a21de1a5-f5bc-4b50-8a13-aa28b7dcfa95",5,1,0,1774036554,0,0,2026-03-20 19:55:54
0,1,11,1,2,"a3b419d9-a135-11e9-9cda-0a87ae2ba916",4,1,1,1774036554,0,0,2026-03-20 19:55:54
0,1,11,1,0,"1975534406854476324",5,1,0,1774036473,0,0,2026-03-20 19:54:33
0,1,17,1,10,"a3aa35a4-a135-11e9-9cda-0a87ae2ba916",13,1,1,1774036555,0,0,2026-03-20 19:55:55
0,1,12,1,2,"1867616662773391950",3,1,0,1774036555,0,0,2026-03-20 19:55:55
0,1,11,1,5,"a3a4ac3f-a135-11e9-9cda-0a87ae2ba916",13,1,1,1774036555,0,1,2026-03-20 19:55:55
0,1,8,1,7,"2142960538272023440",7,1,0,1774036555,0,0,2026-03-20 19:55:55
0,1,8,1,1,"a3afbe2e-a135-11e9-9cda-0a87ae2ba916",5,1,2,1774036556,0,0,2026-03-20 19:55:56
0,1,13,1,0,"1963672425916463636",1,1,0,1774036523,0,1,2026-03-20 19:55:23
0,1,10,1,1,"a3b481e1-a135-11e9-9cda-0a87ae2ba916",3,1,0,1774036559,0,2,2026-03-20 19:55:59
0,1,1,1,10,"a3a82c6c-a135-11e9-9cda-0a87ae2ba916",19,1,2,1774036559,0,2,2026-03-20 19:55:59
0,1,12,1,0,"1934289944388426278",3,1,0,1774036519,0,0,2026-03-20 19:55:19
0,1,8,1,4,"2064963313873613218",6,1,0,1774036559,0,2,2026-03-20 19:55:59
0,1,10,1,1,"a3a62fc9-a135-11e9-9cda-0a87ae2ba916",2,1,2,1774036560,0,0,2026-03-20 19:56:00
0,1,20,1,0,"9e5ce0b6-198f-48fa-9363-64ab5ec2b222",2,1,0,1774036456,0,1,2026-03-20 19:54:16
0,1,8,1,15,"a3a4d069-a135-11e9-9cda-0a87ae2ba916",21,1,1,1774036457,1,0,2026-03-20 19:54:17
0,1,13,1,0,"1869052846885132442",2,1,0,1774036454,0,0,2026-03-20 19:54:14
0,1,3,1,10,"1926946441362045298",11,1,0,1774036453,0,1,2026-03-20 19:54:13
0,1,9,1,1,"1945178760530424534",6,1,0,1774036458,0,0,2026-03-20 19:54:18
0,1,9,1,0,"a3a6fcac-a135-11e9-9cda-0a87ae2ba916",12,1,2,1774036459,0,0,2026-03-20 19:54:19
0,1,9,1,0,"a3a8711c-a135-11e9-9cda-0a87ae2ba916",5,1,3,1774036462,1,1,2026-03-20 19:54:22
